ZIP DISEASE_ID COUNT
90248 HTD 33
93436 STK 30
94603 HTD 56
91345 HTD 49
91321 OTH 27
92703 CAN 54
94599 CAN 28
92801 ALZ 27
91331 STK 22
95204 CLD 32
94952 CAN 65
90275 HTD 93
90503 OTH 46
90063 DIA 26
92057 STK 22
94536 CAN 93
96150 CAN 33
92844 CAN 28
94904 CAN 25
94597 OTH 28
91325 CAN 45
94559 CAN 42
90278 OTH 40
90018 HTD 139
92583 CAN 50
95822 OTH 89
92084 OTH 57
94102 OTH 105
90606 HTD 55
90813 OTH 43
94605 CAN 77
91362 CAN 61
95120 HTD 39
90039 CAN 48
95969 CLD 46
90701 HTD 36
92831 HTD 45
94563 OTH 31
92592 INJ 20
93555 CAN 51
92373 HTD 97
92503 OTH 89
91764 OTH 48
91362 OTH 34
91950 OTH 74
95135 OTH 50
94010 STK 24
90012 CAN 44
93035 HTD 38
90740 HTD 152
93312 CAN 45
90029 OTH 39
94589 CAN 56
93705 HTD 90
95014 STK 22
91740 OTH 27
92587 CAN 23
91304 HTD 109
95961 CAN 35
92691 CLD 21
90032 HTD 58
92227 OTH 35
90255 STK 21
92620 HTD 30
92625 CAN 30
90291 HTD 28
92675 HTD 81
91790 CAN 63
92253 CAN 71
93311 CAN 49
90249 HTD 38
95948 OTH 21
96022 CAN 29
96021 OTH 32
90003 OTH 57
92376 STK 30
91601 HTD 50
94904 CAN 38
90016 HTD 104
95816 CAN 24
95825 CAN 59
92028 INJ 23
93105 CAN 60
95695 CAN 71
92865 CAN 27
92262 STK 33
95351 INJ 33
92346 CAN 76
95988 HTD 20
90277 HTD 68
92277 HTD 39
94526 ALZ 21
92231 HTD 51
93274 STK 27
95642 CAN 23
95127 OTH 56
95521 OTH 28
93552 HTD 29
90602 OTH 22
90746 CAN 43
94904 OTH 27
92518 HTD 22
95065 CAN 23
90250 CLD 24
92571 CAN 27
93446 CAN 75
90241 OTH 46
91106 OTH 26
90022 HTD 103
94564 OTH 34
92231 CAN 33
92543 CLD 61
94587 OTH 77
93555 INJ 20
95503 CLD 24
91104 STK 20
91105 OTH 22
93117 HTD 44
93301 OTH 21
92630 CAN 93
93455 CAN 87
95928 HTD 68
95370 HTD 114
95124 HTD 70
95020 HTD 68
91792 CAN 41
91504 HTD 53
91320 OTH 42
95827 HTD 31
95864 CAN 71
92139 CAN 57
90740 OTH 103
94806 OTH 78
90732 HTD 61
93560 CAN 27
93257 STK 35
92553 OTH 70
93420 CAN 72
90810 CAN 63
94117 HTD 49
92040 OTH 45
95336 CAN 53
90014 HTD 35
90024 OTH 41
93455 HTD 105
91745 OTH 49
95973 OTH 63
94108 CAN 32
92563 OTH 24
92805 STK 23
92404 HTD 130
92201 CLD 22
95407 CAN 44
92705 HTD 95
91765 OTH 36
94703 HTD 30
93710 HTD 51
95126 OTH 24
94904 STK 22
95603 CLD 25
91744 DIA 28
94027 CAN 20
91502 HTD 20
91311 OTH 42
95340 HTD 113
92584 OTH 34
93103 HTD 35
95815 OTH 54
92677 INJ 20
92882 CAN 66
92504 HTD 91
93551 OTH 36
95212 CAN 23
92504 HTD 98
91351 OTH 24
90047 OTH 87
95403 STK 21
